,real,target,preds,lower,upper
06-03-14,18400.0,18400.0,20293.3857421875,19720.7028372157,20866.0686471593
06-03-15,19600.0,19600.0,20451.7021484375,19870.61385175433,21032.79044512067
06-03-16,20000.0,20000.0,20606.966796875,20074.253025352744,21139.680568397256
06-03-17,19750.0,19750.0,20447.3212890625,19933.00491864905,20961.63765947595
06-03-20,19250.0,19250.0,19872.9482421875,19243.628079471455,20502.268404903545
06-03-21,19050.0,19050.0,19091.6884765625,18349.82896838874,19833.54798473626
06-03-22,18450.0,18450.0,18487.8076171875,17667.24589844069,19308.36933593431
06-03-23,18550.0,18550.0,18242.693359375,17403.10428325851,19082.28243549149
06-03-24,18400.0,18400.0,18070.478515625,17261.27755971576,18879.67947153424
06-03-27,19150.0,19150.0,17784.52734375,16914.970197227594,18654.084490272406
06-03-28,19050.0,19050.0,17492.28125,16539.605435356396,18444.957064643604
06-03-29,19050.0,19050.0,17270.333984375,16293.381757647514,18247.286211102484
06-03-30,19100.0,19100.0,17115.5908203125,16140.480703309919,18090.700937315083
06-03-31,19200.0,19200.0,16997.1845703125,16017.552067149218,17976.81707347578
06-04-03,19400.0,19400.0,16892.24609375,15864.73430149117,17919.757886008832
06-04-04,19500.0,19500.0,16857.498046875,15793.231985741459,17921.76410800854
06-04-05,20100.0,20100.0,17020.986328125,15969.023604078955,18072.949052171047
06-04-06,20000.0,20000.0,17411.140625,16430.694811044697,18391.586438955303
06-04-07,20100.0,20100.0,17886.416015625,17013.34647661666,18759.48555463334
06-04-10,20300.0,20300.0,18238.1005859375,17412.02066680065,19064.18050507435
06-04-11,20000.0,20000.0,18418.3740234375,17592.86299536183,19243.88505151317
06-04-12,20550.0,20550.0,18536.484375,17745.397462108678,19327.571287891322
06-04-13,20900.0,20900.0,18521.984375,17774.159408246225,19269.809341753775
06-04-14,20900.0,20900.0,18340.09375,17543.11558269656,19137.07191730344
06-04-17,20500.0,20500.0,18176.814453125,17312.520631915668,19041.108274334332
06-04-18,20350.0,20350.0,18177.4228515625,17308.773636229947,19046.072066895053
06-04-19,20450.0,20450.0,18340.7060546875,17521.721732992773,19159.690376382227
06-04-20,20300.0,20300.0,18461.3818359375,17699.674221645033,19223.089450229967
06-04-21,20150.0,20150.0,18382.884765625,17592.40565529708,19173.36387595292
06-04-24,19200.0,19200.0,18267.23046875,17417.103089561333,19117.357847938667
06-04-25,19300.0,19300.0,18403.7060546875,17549.306692099897,19258.105417275103
06-04-26,19550.0,19550.0,18790.435546875,18027.362336751175,19553.508756998825
06-04-27,19600.0,19600.0,19108.78515625,18453.049139780484,19764.521172719516
06-04-28,19400.0,19400.0,19113.2509765625,18434.383564596363,19792.118388528637
06-05-02,19200.0,19200.0,18838.7158203125,18097.001989410175,19580.429651214825
06-05-03,17650.0,17650.0,18511.40625,17723.799917245567,19299.012582754433
06-05-04,17350.0,17350.0,18322.9638671875,17519.492578010668,19126.435156364332
06-05-08,17400.0,17400.0,18313.9794921875,17515.708332515238,19112.250651859762
06-05-09,17800.0,17800.0,18380.099609375,17565.96020744574,19194.23901130426
06-05-10,17900.0,17900.0,18406.435546875,17589.68177641242,19223.18931733758
06-05-11,18000.0,18000.0,18465.9052734375,17657.15917800073,19274.65136887427
06-05-12,17400.0,17400.0,18626.19921875,17857.555995095496,19394.842442404504
06-05-15,17000.0,17000.0,18758.08984375,18035.520831184687,19480.658856315313
06-05-16,16500.0,16500.0,18770.1552734375,18021.114759189328,19519.195787685672
06-05-17,16550.0,16550.0,18811.9775390625,18026.790856685235,19597.164221439765
06-05-18,16050.0,16050.0,19034.275390625,18279.962916956254,19788.587864293746
06-05-19,16950.0,16950.0,19437.8974609375,18771.39529940613,20104.39962246887
06-05-22,16200.0,16200.0,19716.55078125,19140.438389200805,20292.663173299195
06-05-23,17000.0,17000.0,19731.2001953125,19114.86786121286,20347.53252941214
06-05-24,16500.0,16500.0,19637.201171875,18970.50297803668,20303.89936571332
06-05-25,16600.0,16600.0,19693.6787109375,19037.705015801334,20349.652406073666
06-05-26,17600.0,17600.0,19976.0361328125,19390.606249074353,20561.466016550647
06-05-29,17100.0,17100.0,20231.1943359375,19720.663993008002,20741.724678866998
06-05-30,16750.0,16750.0,20216.3994140625,19663.611271217917,20769.187556907083
06-06-01,16600.0,16600.0,20048.546875,19433.445744754605,20663.648005245395
06-06-02,17000.0,17000.0,19922.0078125,19309.136487694497,20534.879137305503
