,close
18-01-10,31650.0
18-01-11,31200.0
18-01-12,31400.0
18-01-15,31250.0
18-01-16,31700.0
18-01-17,32550.0
18-01-18,31850.0
18-01-19,32350.0
18-01-22,32300.0
18-01-23,32900.0
18-01-24,32850.0
18-01-25,32850.0
18-01-26,33050.0
18-01-29,33400.0
18-01-30,32750.0
18-01-31,32450.0
18-02-01,33200.0
18-02-02,33400.0
18-02-05,32200.0
18-02-06,31850.0
18-02-07,31450.0
18-02-08,31400.0
18-02-09,29850.0
18-02-12,29850.0
18-02-13,29500.0
18-02-14,29700.0
18-02-19,30050.0
18-02-20,29600.0
18-02-21,29550.0
18-02-22,29250.0
18-02-23,29050.0
18-02-26,29250.0
18-02-27,29350.0
18-02-28,28850.0
18-03-02,28400.0
18-03-05,28050.0
18-03-06,28700.0
18-03-07,28750.0
18-03-08,28950.0
18-03-09,29200.0
18-03-12,28800.0
18-03-13,28450.0
18-03-14,28400.0
18-03-15,28500.0
18-03-16,28050.0
18-03-19,27950.0
18-03-20,27900.0
18-03-21,28300.0
18-03-22,28400.0
18-03-23,27400.0
18-03-26,27350.0
18-03-27,27550.0
18-03-28,27650.0
18-03-29,27250.0
18-03-30,28200.0
18-04-02,28500.0
18-04-03,28350.0
18-04-04,28450.0
18-04-05,28200.0
18-04-06,27900.0
18-04-09,27600.0
18-04-10,27400.0
18-04-11,27200.0
18-04-12,26850.0
18-04-13,26100.0
18-04-16,26450.0
18-04-17,27100.0
18-04-18,27800.0
18-04-19,27600.0
18-04-20,28750.0
18-04-23,28750.0
18-04-24,29550.0
18-04-25,29450.0
18-04-26,29000.0
18-04-27,28950.0
18-04-30,28900.0
18-05-02,29250.0
18-05-03,29150.0
18-05-04,29050.0
18-05-08,29000.0
18-05-09,28650.0
18-05-10,28650.0
18-05-11,28650.0
18-05-14,27950.0
18-05-15,27950.0
18-05-16,27600.0
18-05-17,27950.0
18-05-18,28150.0
18-05-21,27950.0
18-05-23,27450.0
18-05-24,27600.0
18-05-25,27500.0
